Route Name,Route Link,Bus Name,Bus Type,Departure Time,Arrival Time,Duration,Seat Availability,Price,Star Rating
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,38 Seats available,450.0,4.6
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,22 Seats available,599.0,4.5
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,05:55,06h 15m,38 Seats available,450.0,4.5
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05:35,05h 45m,30 Seats available,439.0,4.3
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:30,06:45,07h 15m,19 Seats available,639.0,4.6
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,15 Seats available,589.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),22:13,04:55,06h 42m,20 Seats available,504.0,4.0
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,31 Seats available,439.0,4.3
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06h 27m,28 Seats available,395.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06h 25m,32 Seats available,450.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:25,04:55,06h 30m,33 Seats available,450.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,20 Seats available,332.0,4.3
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,16 Seats available,356.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,05h 40m,16 Seats available,600.0,4.4
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:25,06:05,06h 40m,25 Seats available,599.0,4.3
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,04:53,05h 41m,16 Seats available,719.0,4.3
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,05:10,07h 10m,15 Seats available,379.0,4.2
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,05:25,06h 25m,13 Seats available,332.0,4.1
